point_phone,Phone,X,y,point_garmin,X,Y,x_dif,y_dif
144,BB,586224.3267,2326787.458,144,586222,2326787,2,0
145,BB,586251.9183,2326716.984,145,586254,2326717,2,0
146,BB,586308.0745,2326708.643,146,586305,2326709,3,0
147,BB,586360.647,2326690.1,147,586357,2326690,4,0
148,BB,586409.5474,2326778.018,148,586423,2326774,13,4
149,BB,586507.7122,2326883.791,149,586495,2326875,13,9
150,BB,586392.6907,2326722.587,150,586392,2326719,1,4
151,BB,586379.4535,2326690.42,151,586376,2326691,3,1
152,BB,586359.3542,2326738.795,152,586365,2326736,6,3
153,BB,586428.2054,2326747.012,153,586424,2326746,4,1
154,BB,586360.4495,2326767.911,154,586357,2326756,3,12
155,BB,586357.9001,2326738.677,155,586362,2326743,4,4
156,BB,586298.8116,2326771.353,156,586304,2326773,5,2
157,BB,586258.9426,2326844.862,157,586259,2326835,0,10
158,BB,586295.6936,2326911.243,158,586295,2326910,1,1
159,BB,586376.4212,2326374.841,159,586378,2326368,2,7
160,Asus,585334,2327139,160,585380,2327054,46,85
161,Asus,585371,2327120,161,585355,2327134,16,14
162,Asus,585323,2327140,162,585327,2327145,4,5
163,Asus,585327,2327128,163,585314,2327101,13,27
164,Asus,585324,2327101,164,585298,2327037,26,64
165,Asus,585334,2327092,165,585342,2327020,8,72
166,Asus,585367,2327097,166,585407,2327029,40,68
167,Asus,585368,2327098,167,585415,2327084,47,14
168,Asus,585358,2327102,168,585424,2327119,66,17
134,BB,581800,2354805,134,581803,2354805,3,0
135,BB,581881,2354818,135,581882,2354815,1,3
136,BB,581921,2354745,136,581917,2354744,4,1
137,BB,581945,2354666,137,581953,2354663,8,3
138,BB,581973,2354680,138,581972,2354684,1,4
139,BB,581976,2354634,139,581978,2354639,2,5
140,BB,581953,2354669,140,581945,2354670,8,1
